,ZERO_v1_started_ZERO_v1_won,ZERO_v2_started_ZERO_v1_won,ZERO_v1_started_Tie,ZERO_v2_started_Tie,ZERO_v1_started_ZERO_v2_won,ZERO_v2_started_ZERO_v2_won
0,,,,,,19.0
1,,,,,14.0,
2,,,,,28.0,
3,,,,,20.0,
4,,,,,14.0,
5,,,,,10.0,
6,31.0,,,,,
7,,,,,20.0,
8,,,,64.0,,
9,,,,,16.0,
10,,18.0,,,,
11,,,,,16.0,
12,,14.0,,,,
13,,,,,10.0,
14,,,,,18.0,
15,,10.0,,,,
16,25.0,,,,,
17,,,,,16.0,
18,19.0,,,,,
19,,,,,,17.0
20,,,,,,23.0
21,,,,,,37.0
22,,56.0,,,,
23,,,,,,21.0
24,,14.0,,,,
25,,,,,12.0,
26,,,,,16.0,
27,,,,,12.0,
28,,,,,,11.0
29,,,,,,15.0
30,,,,,,19.0
31,,,,,,11.0
32,,,,,16.0,
33,,,,,,25.0
34,,,,,,21.0
35,,16.0,,,,
36,,,,,10.0,
37,,,,,20.0,
38,,,,,,15.0
39,,,,,10.0,
40,,,,,16.0,
41,21.0,,,,,
42,,,,,10.0,
43,,,,,18.0,
44,,,,,,49.0
45,,,,,16.0,
46,,,,,14.0,
47,,,,,10.0,
48,,,,64.0,,
49,,,,,,21.0
