,FLAT_v2_started_FLAT_v2_won,UCT_4500_started_FLAT_v2_won,FLAT_v2_started_Tie,UCT_4500_started_Tie,FLAT_v2_started_UCT_4500_won,UCT_4500_started_UCT_4500_won
0,13.0,,,,,
1,,,,,,17.0
2,,,,,,13.0
3,15.0,,,,,
4,,,,,,9.0
5,,,,,,15.0
6,,,,,10.0,
7,,,,,,9.0
8,,10.0,,,,
9,,,,,,11.0
10,17.0,,,,,
11,,,,,18.0,
12,,,,,,13.0
13,9.0,,,,,
14,15.0,,,,,
15,,,,,,19.0
16,,,,,10.0,
17,,,,,16.0,
18,,,,,10.0,
19,,,,,,23.0
20,,,,,,11.0
21,,,,,,11.0
22,,,,,,15.0
23,,,,,,15.0
24,,,,,,15.0
25,9.0,,,,,
26,,,,,12.0,
27,11.0,,,,,
28,,,,,,9.0
29,11.0,,,,,
30,,,,,14.0,
31,,,,,,19.0
32,,,,,,11.0
33,11.0,,,,,
34,,,,,,9.0
35,,,,,16.0,
36,,,,,,13.0
37,,,,,,9.0
38,,,,,,15.0
39,,,,,,17.0
40,19.0,,,,,
41,,,,,30.0,
42,,,,,,9.0
43,,,,,,9.0
44,,,,,,9.0
45,,,,,12.0,
46,,,,,,9.0
47,,,,,,11.0
48,15.0,,,,,
49,,,,,,13.0
