,FLAT_v1_started_FLAT_v1_won,UCT_3000_started_FLAT_v1_won,FLAT_v1_started_Tie,UCT_3000_started_Tie,FLAT_v1_started_UCT_3000_won,UCT_3000_started_UCT_3000_won
0,13.0,,,,,
1,,,,,14.0,
2,,,,,,17.0
3,17.0,,,,,
4,,,,,12.0,
5,,,,,,9.0
6,,,,,,11.0
7,,,,,,9.0
8,,,,,,11.0
9,,,,,14.0,
10,,,,,12.0,
11,,,,,,23.0
12,,,,,12.0,
13,,,,,40.0,
14,,,,,,9.0
15,,,,,14.0,
16,,,,,14.0,
17,,,,,,11.0
18,,,,,14.0,
19,,,,,,13.0
20,,,,,14.0,
21,9.0,,,,,
22,9.0,,,,,
23,,10.0,,,,
24,,,,,20.0,
25,,,,,,21.0
26,,,,,14.0,
27,,,,,18.0,
28,,,,,,13.0
29,,,,,12.0,
30,,,,,12.0,
31,,,,,,15.0
32,,,,,12.0,
33,,,,,,15.0
34,,,,,,19.0
35,,,,,,13.0
36,,,,,12.0,
37,,,,,,11.0
38,,,,,,9.0
39,,,,,,13.0
40,,,,,,15.0
41,,,,,,11.0
42,9.0,,,,,
43,,,,,,9.0
44,,,,,22.0,
45,,,,,,9.0
46,,,,,20.0,
47,9.0,,,,,
48,,,,,,13.0
49,,,,,12.0,
