,FLAT_v1_started_FLAT_v1_won,FLAT_v6_started_FLAT_v1_won,FLAT_v1_started_Tie,FLAT_v6_started_Tie,FLAT_v1_started_FLAT_v6_won,FLAT_v6_started_FLAT_v6_won
0,,,,,,11.0
1,,,,,,11.0
2,,,,,10.0,
3,,,,,14.0,
4,,,,,,13.0
5,,,,,14.0,
6,,,,,14.0,
7,,,,,12.0,
8,,,,,14.0,
9,,12.0,,,,
10,,,,,,13.0
11,,,,,,21.0
12,,,,,,15.0
13,,,,,,11.0
14,,,,,,9.0
15,,,,,,19.0
16,,,,,14.0,
17,,,,,,13.0
18,,,,,18.0,
19,,,,,16.0,
20,,,,,,9.0
21,,,,,,13.0
22,,,,,12.0,
23,,,,,,13.0
24,,,,,14.0,
25,,,,,,11.0
26,,,,,,11.0
27,,,,,14.0,
28,,,,,14.0,
29,,,,,12.0,
30,,,,,14.0,
31,,,,,14.0,
32,,,,,,11.0
33,,,,,12.0,
34,,,,,,11.0
35,,,,,14.0,
36,,,,,,11.0
37,,,,,14.0,
38,,,,,,9.0
39,,,,,,9.0
40,,,,,,11.0
41,,,,,,11.0
42,,,,,,11.0
43,,,,,10.0,
44,,,,,,11.0
45,,,,,14.0,
46,,,,,,11.0
47,,,,,16.0,
48,,,,,12.0,
49,,,,,,11.0
