,ZEROX_v2_started_ZEROX_v2_won,ZEROX_v6_started_ZEROX_v2_won,ZEROX_v2_started_Tie,ZEROX_v6_started_Tie,ZEROX_v2_started_ZEROX_v6_won,ZEROX_v6_started_ZEROX_v6_won
0,,,,,,9.0
1,,,,,12.0,
2,,,64.0,,,
3,,,,,18.0,
4,31.0,,,,,
5,,,,,12.0,
6,,,,,,11.0
7,,,,,18.0,
8,,,,,,19.0
9,,,,,,9.0
10,25.0,,,,,
11,,,,,22.0,
12,,,,,,19.0
13,,,64.0,,,
14,,,,,,11.0
15,,,64.0,,,
16,,,,,16.0,
17,,,,,,9.0
18,,,,,18.0,
19,,,,,16.0,
20,,,,,,15.0
21,,,,,14.0,
22,,,,,16.0,
23,,,,,14.0,
24,,,64.0,,,
25,,,,,,13.0
26,,,,,16.0,
27,,,,,,11.0
28,,,,,,27.0
29,,,,,,15.0
30,,,,,22.0,
31,,,,,,11.0
32,,,,,10.0,
33,,,,,,11.0
34,,,64.0,,,
35,,,,,,9.0
36,,,,,16.0,
37,,,,,,11.0
38,,,,,18.0,
39,,,,,,23.0
40,,,,,,13.0
41,,,,,,13.0
42,,,,,10.0,
43,,,,,12.0,
44,,,,,16.0,
45,,,,,12.0,
46,,,,,,11.0
47,,,,,,9.0
48,,,,,,9.0
49,,,,,,9.0
