,FLAT_v4_started_FLAT_v4_won,ZEROX_v4_started_FLAT_v4_won,FLAT_v4_started_Tie,ZEROX_v4_started_Tie,FLAT_v4_started_ZEROX_v4_won,ZEROX_v4_started_ZEROX_v4_won
0,,,,,,15.0
1,,,64.0,,,
2,27.0,,,,,
3,,,,,,29.0
4,41.0,,,,,
5,,,,,,11.0
6,,,,,,17.0
7,,,,,,29.0
8,,,,,40.0,
9,,,,,26.0,
10,,,64.0,,,
11,,16.0,,,,
12,,,,,,15.0
13,,,,,18.0,
14,,,,,,17.0
15,,,,,34.0,
16,,,,,,33.0
17,,,,,22.0,
18,,,,,,35.0
19,,,,,,17.0
20,,,,,,37.0
21,19.0,,,,,
22,,,,,,27.0
23,,,,,,13.0
24,,,,,,19.0
25,,,,,18.0,
26,,,,,,17.0
27,,,,,,33.0
28,,,,,30.0,
29,,,,,,9.0
30,,,,,,27.0
31,,,,,14.0,
32,,,,,10.0,
33,,,,,,19.0
34,,,,,,31.0
35,,,,,,59.0
36,,,,,38.0,
37,,,,,28.0,
38,,,,,,15.0
39,,,,,,33.0
40,,,,,42.0,
41,,,,,,23.0
42,,,,,16.0,
43,,,,,,17.0
44,,,,,,19.0
45,,,,,,17.0
46,,,,,14.0,
47,,,,,,13.0
48,,,,,22.0,
49,,,,,,37.0
