,ZEROX_v4_started_ZEROX_v4_won,ZEROX_v5_started_ZEROX_v4_won,ZEROX_v4_started_Tie,ZEROX_v5_started_Tie,ZEROX_v4_started_ZEROX_v5_won,ZEROX_v5_started_ZEROX_v5_won
0,21.0,,,,,
1,,,,64.0,,
2,31.0,,,,,
3,19.0,,,,,
4,53.0,,,,,
5,,44.0,,,,
6,27.0,,,,,
7,,,,64.0,,
8,,,,64.0,,
9,,,,,,17.0
10,,,,64.0,,
11,53.0,,,,,
12,,,,,24.0,
13,,,64.0,,,
14,,,,64.0,,
15,15.0,,,,,
16,,,,,,25.0
17,45.0,,,,,
18,33.0,,,,,
19,15.0,,,,,
20,,,,,,37.0
21,37.0,,,,,
22,41.0,,,,,
23,,34.0,,,,
24,59.0,,,,,
25,11.0,,,,,
26,,,64.0,,,
27,,,,64.0,,
28,,,,64.0,,
29,,,,64.0,,
30,,,64.0,,,
31,,,,64.0,,
32,11.0,,,,,
33,,,,,,25.0
34,25.0,,,,,
35,,,,64.0,,
36,49.0,,,,,
37,,,,,,13.0
38,51.0,,,,,
39,13.0,,,,,
40,,,,,,13.0
41,,,,64.0,,
42,,,64.0,,,
43,,,,64.0,,
44,,44.0,,,,
45,,,,,,11.0
46,,,,,28.0,
47,,,,,,37.0
48,,,,,,13.0
49,,,,64.0,,
