,ZERO_v1_started_ZERO_v1_won,ZERO_v4_started_ZERO_v1_won,ZERO_v1_started_Tie,ZERO_v4_started_Tie,ZERO_v1_started_ZERO_v4_won,ZERO_v4_started_ZERO_v4_won
0,,,,,10.0,
1,,,,,26.0,
2,11.0,,,,,
3,,,,,,21.0
4,,,,,10.0,
5,,,,,12.0,
6,,,,,,11.0
7,,,,,,21.0
8,,,,,,9.0
9,,,,,,27.0
10,,,,,,17.0
11,,,,,14.0,
12,,,,,18.0,
13,11.0,,,,,
14,,,,,14.0,
15,,,,,,11.0
16,,,,,,17.0
17,,,,,,13.0
18,,,,,12.0,
19,,,,,,11.0
20,,,,,12.0,
21,,,,,12.0,
22,,,,,,25.0
23,37.0,,,,,
24,,,,,,41.0
25,,,64.0,,,
26,,,,,,15.0
27,,,,,,21.0
28,,,64.0,,,
29,13.0,,,,,
30,,,,,12.0,
31,,,,,,15.0
32,,,,,,9.0
33,,,,,,21.0
34,,,,,,15.0
35,,,,,,15.0
36,,,,,,19.0
37,,,,,,23.0
38,,,,,,13.0
39,,,,,,9.0
40,,,,,,29.0
41,,,,,14.0,
42,,,,,12.0,
43,,,,,12.0,
44,,,,,,13.0
45,,,,,14.0,
46,,,,,12.0,
47,,,,,,23.0
48,,,,,,19.0
49,,,,,,33.0
