,FLAT_v1_started_FLAT_v1_won,FLAT_v3_started_FLAT_v1_won,FLAT_v1_started_Tie,FLAT_v3_started_Tie,FLAT_v1_started_FLAT_v3_won,FLAT_v3_started_FLAT_v3_won
0,,,,,14.0,
1,33.0,,,,,
2,,,,,12.0,
3,,,,,,13.0
4,,,,,,9.0
5,,,,,20.0,
6,,,,,24.0,
7,,,,,,13.0
8,,10.0,,,,
9,,,,,,15.0
10,,,,,22.0,
11,,12.0,,,,
12,17.0,,,,,
13,,,,,,13.0
14,,,,,,25.0
15,,,,,20.0,
16,,,,,14.0,
17,11.0,,,,,
18,,,,,18.0,
19,,,,,,15.0
20,,,,,14.0,
21,,,,,,9.0
22,,,,,10.0,
23,,,,,10.0,
24,,,,,,11.0
25,,,,,22.0,
26,,,,,20.0,
27,,12.0,,,,
28,,,,,18.0,
29,,,,,,17.0
30,,,,,18.0,
31,,,,,30.0,
32,,,,,18.0,
33,,,,,12.0,
34,,,,,12.0,
35,,,,,,19.0
36,,,,,,11.0
37,,,,,24.0,
38,,,,,,43.0
39,,,,,24.0,
40,,,,,14.0,
41,35.0,,,,,
42,,,,,12.0,
43,,,,,,17.0
44,,,,,14.0,
45,,,,,,15.0
46,,,,,,19.0
47,,,,,12.0,
48,,,,,,11.0
49,23.0,,,,,
