,FLAT_v6_started_FLAT_v6_won,UCT_4500_started_FLAT_v6_won,FLAT_v6_started_Tie,UCT_4500_started_Tie,FLAT_v6_started_UCT_4500_won,UCT_4500_started_UCT_4500_won
0,21.0,,,,,
1,,,,,,25.0
2,,,,,42.0,
3,,,,,22.0,
4,,,,,,11.0
5,,18.0,,,,
6,,,,,,21.0
7,,,,,,33.0
8,,,,,30.0,
9,,10.0,,,,
10,15.0,,,,,
11,,,,,,27.0
12,,,,,30.0,
13,,,,,,23.0
14,,,,,,21.0
15,,,,,20.0,
16,9.0,,,,,
17,,,,,26.0,
18,,,,,,13.0
19,15.0,,,,,
20,13.0,,,,,
21,,,,,,13.0
22,,,,,,15.0
23,,10.0,,,,
24,,,,,,9.0
25,,,,,,17.0
26,,12.0,,,,
27,11.0,,,,,
28,,,,,44.0,
29,,,,,,17.0
30,,,,,44.0,
31,,,,,32.0,
32,,10.0,,,,
33,,,,,,15.0
34,,,,64.0,,
35,,,,,,25.0
36,,,,,,11.0
37,,,,,,15.0
38,,,,,,41.0
39,,,,,22.0,
40,,,,,,15.0
41,,,,,,21.0
42,,,64.0,,,
43,,,,,24.0,
44,,,,,,19.0
45,,,,,,27.0
46,,,,,26.0,
47,,,,,,15.0
48,,,,,28.0,
49,,,,,24.0,
