,FLAT_v4_started_FLAT_v4_won,UCT_1500_started_FLAT_v4_won,FLAT_v4_started_Tie,UCT_1500_started_Tie,FLAT_v4_started_UCT_1500_won,UCT_1500_started_UCT_1500_won
0,9.0,,,,,
1,,12.0,,,,
2,,10.0,,,,
3,15.0,,,,,
4,,,,,,31.0
5,,10.0,,,,
6,9.0,,,,,
7,,,,,16.0,
8,,,,,,17.0
9,,12.0,,,,
10,,,,,,21.0
11,9.0,,,,,
12,,10.0,,,,
13,9.0,,,,,
14,,,,,46.0,
15,,,,,,21.0
16,11.0,,,,,
17,,,,,,39.0
18,,10.0,,,,
19,,,,,38.0,
20,,10.0,,,,
21,,10.0,,,,
22,,10.0,,,,
23,19.0,,,,,
24,,10.0,,,,
25,9.0,,,,,
26,,10.0,,,,
27,,,,,,35.0
28,9.0,,,,,
29,,,,,,27.0
30,,10.0,,,,
31,9.0,,,,,
32,9.0,,,,,
33,9.0,,,,,
34,,10.0,,,,
35,19.0,,,,,
36,11.0,,,,,
37,,10.0,,,,
38,,12.0,,,,
39,,,,,,19.0
40,,,,,30.0,
41,,,,,,19.0
42,,,,,,15.0
43,,22.0,,,,
44,23.0,,,,,
45,,10.0,,,,
46,,,,,,29.0
47,,10.0,,,,
48,,12.0,,,,
49,,,,,,9.0
