,FLAT_v1_started_FLAT_v1_won,UCT_4500_started_FLAT_v1_won,FLAT_v1_started_Tie,UCT_4500_started_Tie,FLAT_v1_started_UCT_4500_won,UCT_4500_started_UCT_4500_won
0,,,,,,9.0
1,,,,,,13.0
2,15.0,,,,,
3,,,,,,13.0
4,9.0,,,,,
5,,,,,,9.0
6,,,,,16.0,
7,,,,,,15.0
8,,,,,14.0,
9,,,,,18.0,
10,,,,,,11.0
11,,,,,,11.0
12,,,,,14.0,
13,,,,,10.0,
14,,,,,,9.0
15,,,,,18.0,
16,,,,,12.0,
17,,24.0,,,,
18,,,,,16.0,
19,,,,,,17.0
20,,,,,,9.0
21,,,,,,17.0
22,,,,,,17.0
23,,,,,,9.0
24,,,,,12.0,
25,,,,,,15.0
26,,,,,,13.0
27,,,,,16.0,
28,13.0,,,,,
29,,,,,,11.0
30,,,,,18.0,
31,17.0,,,,,
32,,,,,12.0,
33,,,,,14.0,
34,,,,,,13.0
35,,18.0,,,,
36,,,,,,13.0
37,,,,,14.0,
38,,,,,12.0,
39,,,,,14.0,
40,,,,,12.0,
41,,,,,,9.0
42,,,,,14.0,
43,,,,,,11.0
44,,,,,,13.0
45,,,,,12.0,
46,,,,,,11.0
47,,,,,16.0,
48,,,,,16.0,
49,13.0,,,,,
