,ZERO_v3_started_ZERO_v3_won,ZERO_v4_started_ZERO_v3_won,ZERO_v3_started_Tie,ZERO_v4_started_Tie,ZERO_v3_started_ZERO_v4_won,ZERO_v4_started_ZERO_v4_won
0,,,,,,17.0
1,,,,,10.0,
2,,,,,30.0,
3,15.0,,,,,
4,,,,,16.0,
5,,,,,22.0,
6,,,,,16.0,
7,,,,,,37.0
8,,,,,,21.0
9,,,,,16.0,
10,,,,,,35.0
11,15.0,,,,,
12,,,,,,17.0
13,,,64.0,,,
14,11.0,,,,,
15,,,,,12.0,
16,,,,,,25.0
17,,,,,,19.0
18,,,64.0,,,
19,,,,,,35.0
20,35.0,,,,,
21,,,,,18.0,
22,,,,,12.0,
23,15.0,,,,,
24,,,,,,17.0
25,,,,,,27.0
26,,,,,,29.0
27,,,,,,21.0
28,,,,,16.0,
29,,,,,14.0,
30,,,,,,27.0
31,,,,,10.0,
32,,,,,,13.0
33,,,,,,45.0
34,,,,,,15.0
35,11.0,,,,,
36,,,,,,17.0
37,,,,,,15.0
38,,,,,,25.0
39,,,,,16.0,
40,,,,,,19.0
41,,,,,12.0,
42,,,,,,17.0
43,,,,,,47.0
44,,,,,16.0,
45,,,64.0,,,
46,,42.0,,,,
47,,,,,,53.0
48,,,,,,45.0
49,,,,,12.0,
