,ZEROX_v1_started_ZEROX_v1_won,UCT_3000_started_ZEROX_v1_won,ZEROX_v1_started_Tie,UCT_3000_started_Tie,ZEROX_v1_started_UCT_3000_won,UCT_3000_started_UCT_3000_won
0,17.0,,,,,
1,19.0,,,,,
2,,,,,,11.0
3,,,,,16.0,
4,,,,,,25.0
5,15.0,,,,,
6,,,,,,19.0
7,,,,,24.0,
8,,,,,,11.0
9,,,,,,9.0
10,,,,,,15.0
11,,,,,,17.0
12,,14.0,,,,
13,,,,,,19.0
14,,,,,,15.0
15,,,,,,17.0
16,,,,,14.0,
17,,,,,,21.0
18,,,,,16.0,
19,,,,,,13.0
20,,,,,,15.0
21,17.0,,,,,
22,,,,,,15.0
23,,,,,,11.0
24,9.0,,,,,
25,,,,,20.0,
26,,,,,,17.0
27,,,,,10.0,
28,,,,,,17.0
29,,,,,16.0,
30,,,,,,11.0
31,,,,,,17.0
32,9.0,,,,,
33,,,,,20.0,
34,,,,,30.0,
35,,,,,,19.0
36,,,,,,9.0
37,,,,,,9.0
38,9.0,,,,,
39,,,,,,9.0
40,,,,,,41.0
41,,,,,,11.0
42,,,,,,9.0
43,,,,,,15.0
44,15.0,,,,,
45,,,,,,19.0
46,9.0,,,,,
47,11.0,,,,,
48,,,,,18.0,
49,9.0,,,,,
