,ZERO_v2_started_ZERO_v2_won,UCT_6000_started_ZERO_v2_won,ZERO_v2_started_Tie,UCT_6000_started_Tie,ZERO_v2_started_UCT_6000_won,UCT_6000_started_UCT_6000_won
0,,,,,20.0,
1,,,,,14.0,
2,,,,,,15.0
3,,,,,,9.0
4,,,,,,9.0
5,,,64.0,,,
6,,,,,20.0,
7,,12.0,,,,
8,,,,,14.0,
9,,,64.0,,,
10,,10.0,,,,
11,,,,,20.0,
12,,,,,12.0,
13,,,,,14.0,
14,,,,,10.0,
15,,,,,,27.0
16,9.0,,,,,
17,,,,,,15.0
18,,,,,,17.0
19,,,,,,13.0
20,,,,,16.0,
21,,,,,,15.0
22,,,64.0,,,
23,,,,,,19.0
24,,,,,18.0,
25,,,,,26.0,
26,,,,,,13.0
27,,,,,10.0,
28,,,,,12.0,
29,,,,,,13.0
30,,,,,10.0,
31,,,,,,9.0
32,11.0,,,,,
33,,,,,20.0,
34,,,,,,9.0
35,,,,,12.0,
36,,,,,18.0,
37,9.0,,,,,
38,,,,,,11.0
39,,,,,,17.0
40,,,,,10.0,
41,,,,,,15.0
42,,,,,14.0,
43,15.0,,,,,
44,,,,,,17.0
45,,,,,,13.0
46,15.0,,,,,
47,11.0,,,,,
48,,,,,16.0,
49,,,,,,9.0
