,ZERO_v4_started_ZERO_v4_won,UCT_3000_started_ZERO_v4_won,ZERO_v4_started_Tie,UCT_3000_started_Tie,ZERO_v4_started_UCT_3000_won,UCT_3000_started_UCT_3000_won
0,15.0,,,,,
1,,10.0,,,,
2,,,,,34.0,
3,,,,,32.0,
4,9.0,,,,,
5,,12.0,,,,
6,,22.0,,,,
7,,10.0,,,,
8,,,,64.0,,
9,15.0,,,,,
10,15.0,,,,,
11,19.0,,,,,
12,15.0,,,,,
13,25.0,,,,,
14,,,,64.0,,
15,9.0,,,,,
16,9.0,,,,,
17,,,64.0,,,
18,,,,64.0,,
19,,,,,,13.0
20,,18.0,,,,
21,,,64.0,,,
22,23.0,,,,,
23,,,64.0,,,
24,19.0,,,,,
25,,16.0,,,,
26,,,,64.0,,
27,17.0,,,,,
28,37.0,,,,,
29,,10.0,,,,
30,9.0,,,,,
31,,22.0,,,,
32,,16.0,,,,
33,,12.0,,,,
34,,,,,,19.0
35,13.0,,,,,
36,15.0,,,,,
37,,,,,,41.0
38,17.0,,,,,
39,11.0,,,,,
40,,,,,,15.0
41,,10.0,,,,
42,17.0,,,,,
43,15.0,,,,,
44,21.0,,,,,
45,,,,,32.0,
46,,,,,,17.0
47,,18.0,,,,
48,,,,,34.0,
49,31.0,,,,,
