,ZERO_v2_started_ZERO_v2_won,UCT_4500_started_ZERO_v2_won,ZERO_v2_started_Tie,UCT_4500_started_Tie,ZERO_v2_started_UCT_4500_won,UCT_4500_started_UCT_4500_won
0,,,,,12.0,
1,,,,,26.0,
2,,,,,22.0,
3,15.0,,,,,
4,,,,,,11.0
5,,,,,16.0,
6,9.0,,,,,
7,11.0,,,,,
8,,,,,,21.0
9,,,,,18.0,
10,,,,,,15.0
11,,,,,14.0,
12,,,,,16.0,
13,9.0,,,,,
14,,,,,,17.0
15,,10.0,,,,
16,13.0,,,,,
17,,,64.0,,,
18,9.0,,,,,
19,,,,,,19.0
20,,,,,40.0,
21,9.0,,,,,
22,,18.0,,,,
23,11.0,,,,,
24,13.0,,,,,
25,,,,,,13.0
26,,,,,,17.0
27,,,,,18.0,
28,,,,,14.0,
29,,,,,14.0,
30,9.0,,,,,
31,11.0,,,,,
32,,,,,12.0,
33,,,,,20.0,
34,,,,,,9.0
35,,,,,22.0,
36,11.0,,,,,
37,,,,,,15.0
38,,,,,16.0,
39,,,,,,25.0
40,,,,,,21.0
41,,,,,14.0,
42,,,,,16.0,
43,9.0,,,,,
44,15.0,,,,,
45,,,,,,17.0
46,,,,,34.0,
47,,,,,,35.0
48,11.0,,,,,
49,,10.0,,,,
