,ZEROX_v4_started_ZEROX_v4_won,ZEROX_v6_started_ZEROX_v4_won,ZEROX_v4_started_Tie,ZEROX_v6_started_Tie,ZEROX_v4_started_ZEROX_v6_won,ZEROX_v6_started_ZEROX_v6_won
0,,,,,48.0,
1,,,,,,27.0
2,19.0,,,,,
3,,,,,,61.0
4,,,,,,25.0
5,,,,,,13.0
6,27.0,,,,,
7,,,,,,13.0
8,,,,,,13.0
9,,,,64.0,,
10,35.0,,,,,
11,17.0,,,,,
12,47.0,,,,,
13,,,,64.0,,
14,,,,64.0,,
15,,,,,,17.0
16,,,,,,15.0
17,,,64.0,,,
18,,,,,,11.0
19,,,64.0,,,
20,,,,,,23.0
21,,,64.0,,,
22,,,,,,19.0
23,,,,64.0,,
24,,,,64.0,,
25,,,,,,13.0
26,15.0,,,,,
27,49.0,,,,,
28,,,,,,11.0
29,,,,,,11.0
30,27.0,,,,,
31,,,,64.0,,
32,,,,,,35.0
33,,,,,12.0,
34,,,64.0,,,
35,,,,,,11.0
36,,,64.0,,,
37,,,,,,17.0
38,,,,64.0,,
39,,,64.0,,,
40,,,,,,11.0
41,,,,,,27.0
42,,,64.0,,,
43,,,64.0,,,
44,,,,,,43.0
45,49.0,,,,,
46,,,,,32.0,
47,,,,,,17.0
48,,,,64.0,,
49,,,,64.0,,
