,ZEROX_v2_started_ZEROX_v2_won,UCT_4500_started_ZEROX_v2_won,ZEROX_v2_started_Tie,UCT_4500_started_Tie,ZEROX_v2_started_UCT_4500_won,UCT_4500_started_UCT_4500_won
0,,,,,26.0,
1,11.0,,,,,
2,,,,,,9.0
3,,,,,,13.0
4,,,,,40.0,
5,,,,,,25.0
6,,,,,,9.0
7,,,,,,13.0
8,11.0,,,,,
9,,,,,,15.0
10,13.0,,,,,
11,,,,,,21.0
12,,,,,18.0,
13,,,,,,15.0
14,,,,,16.0,
15,,,,,,9.0
16,,,,,,9.0
17,,,,,,13.0
18,,,,,,17.0
19,,,,,,13.0
20,,,,,,17.0
21,,,,,,19.0
22,,,,,,27.0
23,,,,,16.0,
24,,,,,24.0,
25,17.0,,,,,
26,,,,,,9.0
27,,10.0,,,,
28,,,,,12.0,
29,,,,,14.0,
30,,,,,,11.0
31,,12.0,,,,
32,11.0,,,,,
33,,,,,12.0,
34,,,,,,9.0
35,,,,,12.0,
36,,,,,,9.0
37,,,,,,11.0
38,,,,,,27.0
39,,,,,16.0,
40,25.0,,,,,
41,,,,,,17.0
42,,,,,,9.0
43,,,,,12.0,
44,,,,,18.0,
45,9.0,,,,,
46,,,,,20.0,
47,,,,,,15.0
48,,,,,34.0,
49,,,,,16.0,
