,FLAT_v5_started_FLAT_v5_won,FLAT_v6_started_FLAT_v5_won,FLAT_v5_started_Tie,FLAT_v6_started_Tie,FLAT_v5_started_FLAT_v6_won,FLAT_v6_started_FLAT_v6_won
0,,,,,24.0,
1,,,,,34.0,
2,,,,,,59.0
3,,22.0,,,,
4,9.0,,,,,
5,,,,,36.0,
6,43.0,,,,,
7,,14.0,,,,
8,19.0,,,,,
9,,18.0,,,,
10,,,,,36.0,
11,,,,64.0,,
12,33.0,,,,,
13,,,,,,21.0
14,,,,,,19.0
15,,,,,38.0,
16,,14.0,,,,
17,,,,,,13.0
18,17.0,,,,,
19,29.0,,,,,
20,43.0,,,,,
21,29.0,,,,,
22,41.0,,,,,
23,,,,,,19.0
24,,,,,,21.0
25,,,,,12.0,
26,11.0,,,,,
27,,,,,26.0,
28,27.0,,,,,
29,21.0,,,,,
30,,,,,24.0,
31,,,,,22.0,
32,29.0,,,,,
33,,,,,,11.0
34,,,,,12.0,
35,,,,,,11.0
36,,,,,12.0,
37,19.0,,,,,
38,,,,,,21.0
39,,,,,22.0,
40,,,,,,13.0
41,,,,,,13.0
42,,,,,,27.0
43,35.0,,,,,
44,,,,,42.0,
45,,,,,32.0,
46,,,,,,13.0
47,37.0,,,,,
48,,18.0,,,,
49,,,,,,15.0
