,FLAT_v1_started_FLAT_v1_won,FLAT_v5_started_FLAT_v1_won,FLAT_v1_started_Tie,FLAT_v5_started_Tie,FLAT_v1_started_FLAT_v5_won,FLAT_v5_started_FLAT_v5_won
0,,,,,14.0,
1,,,,,,9.0
2,,,,,,13.0
3,,,,,,13.0
4,,,,,14.0,
5,,,,,,9.0
6,,,,,,13.0
7,,,,,20.0,
8,,,,,,9.0
9,,,,,,9.0
10,,,,,,17.0
11,,,,,,13.0
12,,,,,,15.0
13,,,,,,9.0
14,,,,,,15.0
15,,,,,,11.0
16,,,,,14.0,
17,13.0,,,,,
18,,,,,,13.0
19,,,,,,13.0
20,,,,,,11.0
21,,,,,,9.0
22,,,,,12.0,
23,,,,,,13.0
24,,,,,,13.0
25,,,,,,11.0
26,,,,,,13.0
27,,,,,,15.0
28,,,,,,15.0
29,,,,,14.0,
30,,,,,,13.0
31,,,,,14.0,
32,,,,,,13.0
33,,,,,,9.0
34,,,,,10.0,
35,,,,,14.0,
36,,,,,14.0,
37,,,,,,23.0
38,,,,,16.0,
39,,,,,16.0,
40,11.0,,,,,
41,,,,,,13.0
42,13.0,,,,,
43,,,,,,11.0
44,,,,,10.0,
45,,,,,14.0,
46,,,,,14.0,
47,,,,,,15.0
48,,,,,12.0,
49,11.0,,,,,
