,FLAT_v3_started_FLAT_v3_won,FLAT_v6_started_FLAT_v3_won,FLAT_v3_started_Tie,FLAT_v6_started_Tie,FLAT_v3_started_FLAT_v6_won,FLAT_v6_started_FLAT_v6_won
0,,,,,18.0,
1,,,,,,13.0
2,,,,,24.0,
3,,,,,12.0,
4,,,,,,31.0
5,,,,,,9.0
6,,,,,,11.0
7,,,64.0,,,
8,,,,,12.0,
9,,,,,,25.0
10,23.0,,,,,
11,,,,,12.0,
12,,,,,,13.0
13,,,,,12.0,
14,,,,,,13.0
15,,,,,32.0,
16,13.0,,,,,
17,,,,,,11.0
18,,,,,12.0,
19,,,,,16.0,
20,,,,,,11.0
21,,,,,,13.0
22,,,,,12.0,
23,,26.0,,,,
24,,,,,12.0,
25,,,,,12.0,
26,,22.0,,,,
27,,,,,,11.0
28,,,,,,11.0
29,,,,,,11.0
30,,14.0,,,,
31,,,,,,11.0
32,,,,,16.0,
33,,,,,12.0,
34,,,,,12.0,
35,,,,,,21.0
36,,,,,,9.0
37,,,,,22.0,
38,,,,,,11.0
39,,,,,12.0,
40,,,,,,9.0
41,,,,,,13.0
42,,,,,,19.0
43,,,,,,13.0
44,,,,,14.0,
45,,,,,,15.0
46,,,,,,17.0
47,,,,,,13.0
48,,16.0,,,,
49,,,,,,13.0
