,FLAT_v5_started_FLAT_v5_won,UCT_6000_started_FLAT_v5_won,FLAT_v5_started_Tie,UCT_6000_started_Tie,FLAT_v5_started_UCT_6000_won,UCT_6000_started_UCT_6000_won
0,,,,,,27.0
1,,,,,,23.0
2,,,,,,19.0
3,11.0,,,,,
4,9.0,,,,,
5,,,,,,17.0
6,,,,,20.0,
7,,,,,,19.0
8,,,,,,21.0
9,11.0,,,,,
10,,14.0,,,,
11,,,,,14.0,
12,,,,,32.0,
13,15.0,,,,,
14,13.0,,,,,
15,,,,,,33.0
16,,,,,,23.0
17,13.0,,,,,
18,,,,,26.0,
19,,,,,,19.0
20,13.0,,,,,
21,,,,,22.0,
22,,,,,18.0,
23,,,,,34.0,
24,,,,,,27.0
25,,,,,28.0,
26,,,,,,11.0
27,,,,,32.0,
28,11.0,,,,,
29,,,,,26.0,
30,,,,,,17.0
31,,,,,,19.0
32,9.0,,,,,
33,9.0,,,,,
34,,,,,,17.0
35,25.0,,,,,
36,,,,,,31.0
37,,,,,36.0,
38,,,,,48.0,
39,,,,,22.0,
40,15.0,,,,,
41,,,,,,23.0
42,,,,,,27.0
43,,,,,22.0,
44,,,,,,27.0
45,11.0,,,,,
46,,,,,,23.0
47,9.0,,,,,
48,11.0,,,,,
49,,,,,,23.0
