,ZEROX_v1_started_ZEROX_v1_won,ZEROX_v6_started_ZEROX_v1_won,ZEROX_v1_started_Tie,ZEROX_v6_started_Tie,ZEROX_v1_started_ZEROX_v6_won,ZEROX_v6_started_ZEROX_v6_won
0,,,,,10.0,
1,,,,,,9.0
2,,,,,,11.0
3,,,,,,9.0
4,,,,,,11.0
5,,,,,,9.0
6,35.0,,,,,
7,,,,,,11.0
8,,,,,10.0,
9,11.0,,,,,
10,,,,,,11.0
11,,,,,10.0,
12,,,,,,11.0
13,,,,,,15.0
14,,,,,12.0,
15,,,,,12.0,
16,,,,,20.0,
17,,,,,,13.0
18,,,,,,11.0
19,,,,,,17.0
20,,,,,,13.0
21,,,,,12.0,
22,,,,,,13.0
23,,,,,,9.0
24,,,,,,11.0
25,,,,,,11.0
26,,,,,12.0,
27,,,,,,11.0
28,,,,,,13.0
29,,,64.0,,,
30,,,,,,11.0
31,,,,,10.0,
32,23.0,,,,,
33,29.0,,,,,
34,,,,,,13.0
35,,,,,,9.0
36,,,,,,9.0
37,,,,,,9.0
38,,,,,,11.0
39,,,,,,11.0
40,,,,,,13.0
41,,,,,10.0,
42,,,,,12.0,
43,,,,,,15.0
44,,,,,12.0,
45,,,64.0,,,
46,,,,,38.0,
47,,,,,12.0,
48,,,,,,11.0
49,,,,,10.0,
