,ZEROX_v1_started_ZEROX_v1_won,UCT_6000_started_ZEROX_v1_won,ZEROX_v1_started_Tie,UCT_6000_started_Tie,ZEROX_v1_started_UCT_6000_won,UCT_6000_started_UCT_6000_won
0,,,,,,15.0
1,,,,,14.0,
2,,,,,,13.0
3,,,,,14.0,
4,11.0,,,,,
5,,,,,,13.0
6,,,,,22.0,
7,,,,,,13.0
8,,,,,32.0,
9,11.0,,,,,
10,23.0,,,,,
11,,,,,,9.0
12,,,,,18.0,
13,,,,,,11.0
14,,,,,18.0,
15,,,,,,11.0
16,,,,,,9.0
17,,,,,,9.0
18,,,,,,13.0
19,,,,,14.0,
20,11.0,,,,,
21,9.0,,,,,
22,,,,,14.0,
23,11.0,,,,,
24,,,,,,17.0
25,,,,,,9.0
26,,,,,14.0,
27,,,,,14.0,
28,,,,,,13.0
29,,,,,14.0,
30,,,,,14.0,
31,,,,,,11.0
32,,,,,14.0,
33,,,,,,17.0
34,,,,,12.0,
35,,,,,,15.0
36,,,,,,15.0
37,,,,,26.0,
38,,,,,14.0,
39,,,,,12.0,
40,,,,,14.0,
41,,,,,16.0,
42,,,,,26.0,
43,,,,,30.0,
44,,,,,10.0,
45,,,,,,19.0
46,,,,,,15.0
47,,,,,,11.0
48,,,,,,17.0
49,,,,,,11.0
