,ZERO_v5_started_ZERO_v5_won,UCT_1500_started_ZERO_v5_won,ZERO_v5_started_Tie,UCT_1500_started_Tie,ZERO_v5_started_UCT_1500_won,UCT_1500_started_UCT_1500_won
0,,,,,,27.0
1,27.0,,,,,
2,,,,,,21.0
3,9.0,,,,,
4,9.0,,,,,
5,,10.0,,,,
6,11.0,,,,,
7,15.0,,,,,
8,,,,,34.0,
9,,12.0,,,,
10,9.0,,,,,
11,,18.0,,,,
12,,,,,26.0,
13,,,,64.0,,
14,,10.0,,,,
15,,,,,,19.0
16,,22.0,,,,
17,,10.0,,,,
18,,12.0,,,,
19,,10.0,,,,
20,9.0,,,,,
21,9.0,,,,,
22,11.0,,,,,
23,17.0,,,,,
24,,10.0,,,,
25,,,64.0,,,
26,9.0,,,,,
27,,,,,,43.0
28,9.0,,,,,
29,,,,,,43.0
30,,,,,,21.0
31,,18.0,,,,
32,9.0,,,,,
33,,12.0,,,,
34,,,,,42.0,
35,9.0,,,,,
36,,10.0,,,,
37,9.0,,,,,
38,9.0,,,,,
39,9.0,,,,,
40,,10.0,,,,
41,,,,,,27.0
42,9.0,,,,,
43,9.0,,,,,
44,,14.0,,,,
45,15.0,,,,,
46,13.0,,,,,
47,9.0,,,,,
48,23.0,,,,,
49,,,64.0,,,
