,ZEROX_v6_started_ZEROX_v6_won,UCT_4500_started_ZEROX_v6_won,ZEROX_v6_started_Tie,UCT_4500_started_Tie,ZEROX_v6_started_UCT_4500_won,UCT_4500_started_UCT_4500_won
0,15.0,,,,,
1,,,,,,39.0
2,,,,,40.0,
3,9.0,,,,,
4,17.0,,,,,
5,21.0,,,,,
6,,,,,36.0,
7,,,64.0,,,
8,,12.0,,,,
9,11.0,,,,,
10,17.0,,,,,
11,,12.0,,,,
12,,,,,,31.0
13,11.0,,,,,
14,,,,,,39.0
15,,10.0,,,,
16,15.0,,,,,
17,27.0,,,,,
18,9.0,,,,,
19,,,,,30.0,
20,25.0,,,,,
21,,,,64.0,,
22,,10.0,,,,
23,,,,,,37.0
24,,10.0,,,,
25,,,,,,37.0
26,,,,,,39.0
27,,,64.0,,,
28,,,64.0,,,
29,,14.0,,,,
30,,14.0,,,,
31,17.0,,,,,
32,25.0,,,,,
33,,,,64.0,,
34,,,,,,23.0
35,,,64.0,,,
36,,,,,38.0,
37,,,,,42.0,
38,,,,64.0,,
39,,,,,40.0,
40,15.0,,,,,
41,9.0,,,,,
42,,36.0,,,,
43,9.0,,,,,
44,,20.0,,,,
45,,,,,,29.0
46,,10.0,,,,
47,,,,,,25.0
48,,20.0,,,,
49,21.0,,,,,
