,ZEROX_v2_started_ZEROX_v2_won,ZEROX_v5_started_ZEROX_v2_won,ZEROX_v2_started_Tie,ZEROX_v5_started_Tie,ZEROX_v2_started_ZEROX_v5_won,ZEROX_v5_started_ZEROX_v5_won
0,,,,,,21.0
1,,,,,12.0,
2,,,,,18.0,
3,,,,,,15.0
4,,,,,14.0,
5,17.0,,,,,
6,,,,,,31.0
7,,,,,,11.0
8,,,,,,9.0
9,17.0,,,,,
10,,,,,20.0,
11,,,,,,11.0
12,,,,,12.0,
13,,,,,10.0,
14,21.0,,,,,
15,,,,,,13.0
16,,,,,,9.0
17,,,,,26.0,
18,,,,,,9.0
19,,,,,,29.0
20,,,,,16.0,
21,,,,,,9.0
22,,,64.0,,,
23,,,64.0,,,
24,21.0,,,,,
25,,,,,,11.0
26,21.0,,,,,
27,,,,,14.0,
28,23.0,,,,,
29,17.0,,,,,
30,,,,,,15.0
31,,,,,,19.0
32,,,,,,23.0
33,,,,,,25.0
34,,,,,,13.0
35,,,,,12.0,
36,,,,,,19.0
37,,,,,10.0,
38,,,,,,11.0
39,,,,,,21.0
40,,,,,,13.0
41,,,,,44.0,
42,,,,,,9.0
43,,,,,,21.0
44,13.0,,,,,
45,,,,,,31.0
46,,,,,22.0,
47,,,,64.0,,
48,,,64.0,,,
49,,,,,,9.0
