,ZERO_v1_started_ZERO_v1_won,UCT_4500_started_ZERO_v1_won,ZERO_v1_started_Tie,UCT_4500_started_Tie,ZERO_v1_started_UCT_4500_won,UCT_4500_started_UCT_4500_won
0,,,,,,13.0
1,,,,,14.0,
2,,,,,,11.0
3,,,,,16.0,
4,9.0,,,,,
5,,,,,,19.0
6,,,,,,21.0
7,,,,,14.0,
8,,,,,24.0,
9,,,,,14.0,
10,,,,,16.0,
11,,,,,,11.0
12,,,,,24.0,
13,13.0,,,,,
14,,,,,14.0,
15,,,,,10.0,
16,,,,,,13.0
17,,,,,,17.0
18,19.0,,,,,
19,,,,,26.0,
20,,,,,,9.0
21,,,,,16.0,
22,,,,,,9.0
23,,,,,10.0,
24,,,,,10.0,
25,,,,,12.0,
26,9.0,,,,,
27,,,,,18.0,
28,19.0,,,,,
29,,,,,,11.0
30,9.0,,,,,
31,,,,,,19.0
32,,,,,20.0,
33,,,,,,31.0
34,,,,,,11.0
35,,,,,10.0,
36,,,,,50.0,
37,,,,,,11.0
38,,18.0,,,,
39,,,,,18.0,
40,,,,,24.0,
41,,,,,14.0,
42,,,,,18.0,
43,,,,,,11.0
44,9.0,,,,,
45,,,,,26.0,
46,11.0,,,,,
47,,,,,16.0,
48,,14.0,,,,
49,,,,,,11.0
