,FLAT_v6_started_FLAT_v6_won,ZERO_v6_started_FLAT_v6_won,FLAT_v6_started_Tie,ZERO_v6_started_Tie,FLAT_v6_started_ZERO_v6_won,ZERO_v6_started_ZERO_v6_won
0,,,,,16.0,
1,,,,,,17.0
2,,,,,,21.0
3,,,,,,13.0
4,,,,,16.0,
5,,,,,26.0,
6,,,,,,29.0
7,,,,,24.0,
8,,,,,32.0,
9,,,,64.0,,
10,,,,,46.0,
11,,,,,18.0,
12,,,,,22.0,
13,,,,,,19.0
14,,,,,32.0,
15,,,,,26.0,
16,,,,,,23.0
17,,,,,14.0,
18,,,,,,11.0
19,,,,,20.0,
20,,,,,46.0,
21,,,64.0,,,
22,,,,,40.0,
23,,,,,,35.0
24,,,64.0,,,
25,,,,,,13.0
26,,,,,40.0,
27,,,,,30.0,
28,,,,,,19.0
29,25.0,,,,,
30,,,,,20.0,
31,,,,,,15.0
32,,,,,20.0,
33,,,,,20.0,
34,,,,,,27.0
35,,,,,,15.0
36,,,,,,13.0
37,31.0,,,,,
38,,,,,,13.0
39,,,,,,19.0
40,,,,64.0,,
41,25.0,,,,,
42,,,,,,21.0
43,,,,,16.0,
44,43.0,,,,,
45,,,,,22.0,
46,,,,,,11.0
47,,,,,,57.0
48,,,,,20.0,
49,,20.0,,,,
