,ZERO_v5_started_ZERO_v5_won,UCT_3000_started_ZERO_v5_won,ZERO_v5_started_Tie,UCT_3000_started_Tie,ZERO_v5_started_UCT_3000_won,UCT_3000_started_UCT_3000_won
0,,10.0,,,,
1,,,,,,17.0
2,9.0,,,,,
3,9.0,,,,,
4,,10.0,,,,
5,,14.0,,,,
6,,,,,,25.0
7,,22.0,,,,
8,,18.0,,,,
9,,,,,,41.0
10,,,,,,19.0
11,,16.0,,,,
12,,22.0,,,,
13,,,,,32.0,
14,,12.0,,,,
15,,20.0,,,,
16,,,,,20.0,
17,,,,,,21.0
18,,,,,,29.0
19,,,,,,25.0
20,,,64.0,,,
21,,,,,50.0,
22,,18.0,,,,
23,,10.0,,,,
24,9.0,,,,,
25,,,,64.0,,
26,,,64.0,,,
27,,,,,,19.0
28,,22.0,,,,
29,,14.0,,,,
30,9.0,,,,,
31,,,,,,33.0
32,,10.0,,,,
33,,20.0,,,,
34,,,,,,29.0
35,,,,,,19.0
36,,16.0,,,,
37,,10.0,,,,
38,19.0,,,,,
39,,,64.0,,,
40,,,,,22.0,
41,,14.0,,,,
42,,,,,,33.0
43,,,,,18.0,
44,,,64.0,,,
45,,,,,44.0,
46,,,,,,19.0
47,,16.0,,,,
48,,,64.0,,,
49,23.0,,,,,
