,ZERO_v5_started_ZERO_v5_won,ZERO_v6_started_ZERO_v5_won,ZERO_v5_started_Tie,ZERO_v6_started_Tie,ZERO_v5_started_ZERO_v6_won,ZERO_v6_started_ZERO_v6_won
0,,18.0,,,,
1,,,64.0,,,
2,,,,,,17.0
3,,,64.0,,,
4,,,,64.0,,
5,,,,64.0,,
6,,,64.0,,,
7,,,64.0,,,
8,59.0,,,,,
9,,,,64.0,,
10,,,,,28.0,
11,,,,,,33.0
12,,,,,,19.0
13,,38.0,,,,
14,25.0,,,,,
15,33.0,,,,,
16,,,,,,33.0
17,,,,,,11.0
18,,,,,,23.0
19,,,,,,31.0
20,,,64.0,,,
21,,,,,,29.0
22,,,64.0,,,
23,,,64.0,,,
24,,,,,,19.0
25,,,,64.0,,
26,,,64.0,,,
27,,,,,,19.0
28,,,,,,27.0
29,,,,,,13.0
30,,,64.0,,,
31,,,,,,29.0
32,59.0,,,,,
33,,,64.0,,,
34,,,,,,25.0
35,,,,,,23.0
36,,,,,,29.0
37,,,64.0,,,
38,,,,,28.0,
39,,,,,22.0,
40,23.0,,,,,
41,,,64.0,,,
42,,,,,,11.0
43,,,64.0,,,
44,,,,,,21.0
45,,,64.0,,,
46,,,,,,55.0
47,,,,,,39.0
48,,,,,40.0,
49,49.0,,,,,
