,ZERO_v2_started_ZERO_v2_won,ZERO_v4_started_ZERO_v2_won,ZERO_v2_started_Tie,ZERO_v4_started_Tie,ZERO_v2_started_ZERO_v4_won,ZERO_v4_started_ZERO_v4_won
0,,,,,,9.0
1,,,,,18.0,
2,,,,,,27.0
3,,,,,14.0,
4,,,,,,19.0
5,,,64.0,,,
6,,,,,12.0,
7,,,,,12.0,
8,,,,,10.0,
9,,,,,,17.0
10,,,,,10.0,
11,11.0,,,,,
12,,,,,,9.0
13,,,,,,39.0
14,,,,,,31.0
15,11.0,,,,,
16,,,,,,19.0
17,,,64.0,,,
18,,,,,14.0,
19,,,,,,23.0
20,,,,,,25.0
21,,,,,,25.0
22,,,,,10.0,
23,,,,,,27.0
24,,,,,12.0,
25,,,,,12.0,
26,,,,,18.0,
27,,,,,,11.0
28,,,,,,27.0
29,,,,,,19.0
30,,,,,10.0,
31,,,,,12.0,
32,,,,,,23.0
33,,,64.0,,,
34,,,,,12.0,
35,,,,,,11.0
36,,,,,,11.0
37,,,,,,21.0
38,,,,,,9.0
39,,,,,,23.0
40,,,,,10.0,
41,,,,,,19.0
42,,,,,12.0,
43,,,,,10.0,
44,,,,,26.0,
45,,,,,,11.0
46,,,,,,23.0
47,,,,,12.0,
48,,,,,,9.0
49,,,,,,21.0
