,FLAT_v3_started_FLAT_v3_won,FLAT_v4_started_FLAT_v3_won,FLAT_v3_started_Tie,FLAT_v4_started_Tie,FLAT_v3_started_FLAT_v4_won,FLAT_v4_started_FLAT_v4_won
0,,,,,,19.0
1,13.0,,,,,
2,19.0,,,,,
3,,,,,12.0,
4,,,,,,11.0
5,,,,,16.0,
6,11.0,,,,,
7,,,,,12.0,
8,,14.0,,,,
9,,,,,,17.0
10,,,,,12.0,
11,,,,,10.0,
12,,,,,12.0,
13,,,,,12.0,
14,,,,,52.0,
15,,,,,16.0,
16,9.0,,,,,
17,,,,,12.0,
18,11.0,,,,,
19,,,,,,17.0
20,,,,,12.0,
21,,,,,12.0,
22,,,,,,37.0
23,,,,,12.0,
24,11.0,,,,,
25,,,,,22.0,
26,,10.0,,,,
27,15.0,,,,,
28,,34.0,,,,
29,,,,,,11.0
30,,,,,14.0,
31,,,,,,13.0
32,21.0,,,,,
33,15.0,,,,,
34,,,,,,15.0
35,,,,,36.0,
36,,,,,,23.0
37,,,,,,15.0
38,,,,,,21.0
39,49.0,,,,,
40,11.0,,,,,
41,,,,,12.0,
42,,,,,,11.0
43,,,,,12.0,
44,,,,,,17.0
45,15.0,,,,,
46,,,,,,11.0
47,,,,,,9.0
48,11.0,,,,,
49,,24.0,,,,
