,ZERO_v2_started_ZERO_v2_won,ZERO_v6_started_ZERO_v2_won,ZERO_v2_started_Tie,ZERO_v6_started_Tie,ZERO_v2_started_ZERO_v6_won,ZERO_v6_started_ZERO_v6_won
0,,,,,,11.0
1,,,,,,11.0
2,,10.0,,,,
3,,,,,,9.0
4,,,,,,15.0
5,,,,,,9.0
6,,,,,12.0,
7,,,,,12.0,
8,,,,,34.0,
9,,,,,,11.0
10,,,,,,13.0
11,15.0,,,,,
12,,,,,,13.0
13,,,,,,13.0
14,,,,,,11.0
15,21.0,,,,,
16,,,,,14.0,
17,39.0,,,,,
18,,,64.0,,,
19,,,,,,11.0
20,,,,,,11.0
21,,,,,14.0,
22,,,,,,17.0
23,,,64.0,,,
24,,,,,,9.0
25,,,,,,15.0
26,,,,,12.0,
27,,,,,16.0,
28,,,,,,9.0
29,,,,,,9.0
30,,,64.0,,,
31,,,,,16.0,
32,,,,,,11.0
33,,,,,12.0,
34,,,,,,15.0
35,,,,,,11.0
36,,,,,,25.0
37,,,,,,17.0
38,,,,,14.0,
39,,,,,14.0,
40,,,,,20.0,
41,,,,,14.0,
42,,,,,12.0,
43,,,,,,15.0
44,,,,,,15.0
45,,,,,,11.0
46,,,,,,15.0
47,,,,,,19.0
48,,,,,,9.0
49,,,,,16.0,
