,FLAT_v3_started_FLAT_v3_won,UCT_3000_started_FLAT_v3_won,FLAT_v3_started_Tie,UCT_3000_started_Tie,FLAT_v3_started_UCT_3000_won,UCT_3000_started_UCT_3000_won
0,,,,,,19.0
1,,,,,,9.0
2,,,,,,15.0
3,,,,,26.0,
4,9.0,,,,,
5,,,,,,17.0
6,,,,,,17.0
7,,,,,26.0,
8,,,,,30.0,
9,,,,,12.0,
10,,,,,16.0,
11,9.0,,,,,
12,,,,,,11.0
13,9.0,,,,,
14,9.0,,,,,
15,,10.0,,,,
16,25.0,,,,,
17,,,,,38.0,
18,,26.0,,,,
19,9.0,,,,,
20,,,,,,11.0
21,,,,,10.0,
22,,,,,24.0,
23,,,,,,9.0
24,,,,,,35.0
25,,10.0,,,,
26,9.0,,,,,
27,25.0,,,,,
28,,,,,,13.0
29,,,,,,11.0
30,,,,,30.0,
31,,,,,,15.0
32,,,,,14.0,
33,,16.0,,,,
34,,,,,,9.0
35,,,,,,23.0
36,,,,,,13.0
37,,,,,26.0,
38,,,,,20.0,
39,,,,,22.0,
40,,10.0,,,,
41,,,,,,31.0
42,9.0,,,,,
43,,,,,,9.0
44,,10.0,,,,
45,,10.0,,,,
46,,,,,,15.0
47,,,,,20.0,
48,,,,,,9.0
49,17.0,,,,,
