,FLAT_v5_started_FLAT_v5_won,UCT_3000_started_FLAT_v5_won,FLAT_v5_started_Tie,UCT_3000_started_Tie,FLAT_v5_started_UCT_3000_won,UCT_3000_started_UCT_3000_won
0,,,,,46.0,
1,23.0,,,,,
2,,10.0,,,,
3,17.0,,,,,
4,,,,,28.0,
5,,20.0,,,,
6,,,,,,19.0
7,,,,,30.0,
8,9.0,,,,,
9,17.0,,,,,
10,,,,,,19.0
11,,,,,20.0,
12,,,,,,33.0
13,,,,,,23.0
14,9.0,,,,,
15,,,,,20.0,
16,,12.0,,,,
17,17.0,,,,,
18,11.0,,,,,
19,15.0,,,,,
20,,,,,,21.0
21,9.0,,,,,
22,,,,,24.0,
23,,,,,30.0,
24,,,,,,19.0
25,9.0,,,,,
26,,,,,22.0,
27,,,,,,29.0
28,,,,,,21.0
29,11.0,,,,,
30,,12.0,,,,
31,,12.0,,,,
32,,,,,,39.0
33,9.0,,,,,
34,9.0,,,,,
35,11.0,,,,,
36,,,,,12.0,
37,,,,,,15.0
38,,,,,36.0,
39,,,,,,13.0
40,13.0,,,,,
41,,16.0,,,,
42,,10.0,,,,
43,,,,,,33.0
44,,,,,36.0,
45,,,,,,53.0
46,,,,,,33.0
47,,,,,,23.0
48,,,,,,25.0
49,,16.0,,,,
