,ZERO_v3_started_ZERO_v3_won,ZERO_v6_started_ZERO_v3_won,ZERO_v3_started_Tie,ZERO_v6_started_Tie,ZERO_v3_started_ZERO_v6_won,ZERO_v6_started_ZERO_v6_won
0,,,,,,19.0
1,,,,,16.0,
2,,,,,22.0,
3,,,,64.0,,
4,,,,64.0,,
5,,,,,,9.0
6,,,,,,37.0
7,,,,,,17.0
8,,,,,,21.0
9,,,,,,23.0
10,,,,,,11.0
11,,,,,50.0,
12,,,,,,25.0
13,,,,,36.0,
14,,,,,,15.0
15,,,64.0,,,
16,,,,,16.0,
17,,,,,18.0,
18,,,,,,25.0
19,,,64.0,,,
20,,,,,,9.0
21,,,,,38.0,
22,,,,64.0,,
23,,,,,30.0,
24,,,,,,13.0
25,,,,,16.0,
26,,,,,28.0,
27,,,64.0,,,
28,,,,,,39.0
29,,,,64.0,,
30,,,,,30.0,
31,,,,,,13.0
32,,,,,,11.0
33,,,64.0,,,
34,,,,,,11.0
35,,,,,,21.0
36,25.0,,,,,
37,,,,,16.0,
38,,,64.0,,,
39,,,,,28.0,
40,,,,,18.0,
41,,,,,,13.0
42,,,,,18.0,
43,,,,,,55.0
44,,,64.0,,,
45,,,,,,13.0
46,51.0,,,,,
47,,,,,,13.0
48,,,,,,27.0
49,,,,,,13.0
