,ZEROX_v3_started_ZEROX_v3_won,UCT_6000_started_ZEROX_v3_won,ZEROX_v3_started_Tie,UCT_6000_started_Tie,ZEROX_v3_started_UCT_6000_won,UCT_6000_started_UCT_6000_won
0,,10.0,,,,
1,,,,,20.0,
2,23.0,,,,,
3,,,,,18.0,
4,,10.0,,,,
5,,,,,,15.0
6,,,,,,19.0
7,9.0,,,,,
8,,,,,,25.0
9,,,,,,17.0
10,23.0,,,,,
11,,,,,,25.0
12,,,,,,25.0
13,9.0,,,,,
14,,,,,,33.0
15,,,64.0,,,
16,,,,,,21.0
17,,,,,20.0,
18,,,64.0,,,
19,,,,,,11.0
20,,,,,,11.0
21,,,,,18.0,
22,,,,,34.0,
23,9.0,,,,,
24,,,,,,13.0
25,,,,,,21.0
26,,,,,,11.0
27,,,,,,23.0
28,,,,,,33.0
29,,,,,,15.0
30,,,64.0,,,
31,,,,,,11.0
32,,,,,,21.0
33,,,,,,13.0
34,21.0,,,,,
35,,,,,,21.0
36,,10.0,,,,
37,,,,,44.0,
38,,,64.0,,,
39,,,,,50.0,
40,,,,,14.0,
41,,,,,22.0,
42,,,,,20.0,
43,,,,,,9.0
44,9.0,,,,,
45,,,,,,15.0
46,,,,,16.0,
47,,,,,,17.0
48,,10.0,,,,
49,,,,,,29.0
