,FLAT_v2_started_FLAT_v2_won,FLAT_v6_started_FLAT_v2_won,FLAT_v2_started_Tie,FLAT_v6_started_Tie,FLAT_v2_started_FLAT_v6_won,FLAT_v6_started_FLAT_v6_won
0,,,,,18.0,
1,13.0,,,,,
2,,,,,14.0,
3,,,,,12.0,
4,,,,,,19.0
5,,,,,,11.0
6,,,,,,25.0
7,,,,,12.0,
8,,,,,,21.0
9,,16.0,,,,
10,19.0,,,,,
11,,,,,,11.0
12,,,,,14.0,
13,,,,,,11.0
14,,,,,,11.0
15,15.0,,,,,
16,11.0,,,,,
17,,,,,,9.0
18,,,,,36.0,
19,13.0,,,,,
20,,,,,10.0,
21,,,,,16.0,
22,,,,,,9.0
23,,,,,,9.0
24,,,,,10.0,
25,,,,,,13.0
26,,16.0,,,,
27,,,,,,11.0
28,,,,,12.0,
29,,,,,,21.0
30,,,,,,9.0
31,,,,,,11.0
32,,26.0,,,,
33,,,,,16.0,
34,,,,,16.0,
35,,,,,16.0,
36,11.0,,,,,
37,,,,,,23.0
38,,,,,16.0,
39,,,,,,11.0
40,,,,,14.0,
41,,,,,16.0,
42,,,,,,9.0
43,,,,,,11.0
44,,,,,16.0,
45,,,,,,9.0
46,,,,,12.0,
47,,,,,10.0,
48,,,,,16.0,
49,,,,,18.0,
