,ZERO_v6_started_ZERO_v6_won,UCT_3000_started_ZERO_v6_won,ZERO_v6_started_Tie,UCT_3000_started_Tie,ZERO_v6_started_UCT_3000_won,UCT_3000_started_UCT_3000_won
0,9.0,,,,,
1,,,,,,31.0
2,,,,,,29.0
3,17.0,,,,,
4,,10.0,,,,
5,11.0,,,,,
6,,,,,,29.0
7,,10.0,,,,
8,,28.0,,,,
9,9.0,,,,,
10,,,,64.0,,
11,,14.0,,,,
12,,10.0,,,,
13,,10.0,,,,
14,9.0,,,,,
15,,,,,,17.0
16,19.0,,,,,
17,,10.0,,,,
18,15.0,,,,,
19,,,,,,27.0
20,,,,64.0,,
21,,20.0,,,,
22,33.0,,,,,
23,,10.0,,,,
24,,,64.0,,,
25,,10.0,,,,
26,,18.0,,,,
27,,18.0,,,,
28,9.0,,,,,
29,15.0,,,,,
30,,,,,,21.0
31,,10.0,,,,
32,,,,,14.0,
33,,,,64.0,,
34,,,,,,33.0
35,11.0,,,,,
36,,10.0,,,,
37,11.0,,,,,
38,9.0,,,,,
39,,18.0,,,,
40,,12.0,,,,
41,11.0,,,,,
42,,10.0,,,,
43,9.0,,,,,
44,9.0,,,,,
45,,16.0,,,,
46,9.0,,,,,
47,9.0,,,,,
48,,,,,,21.0
49,,,64.0,,,
