,ZEROX_v3_started_ZEROX_v3_won,ZEROX_v5_started_ZEROX_v3_won,ZEROX_v3_started_Tie,ZEROX_v5_started_Tie,ZEROX_v3_started_ZEROX_v5_won,ZEROX_v5_started_ZEROX_v5_won
0,25.0,,,,,
1,,,,64.0,,
2,,,64.0,,,
3,,18.0,,,,
4,,,,64.0,,
5,,,64.0,,,
6,15.0,,,,,
7,,,,,,21.0
8,,,,,,31.0
9,11.0,,,,,
10,,,,,,15.0
11,,,,,16.0,
12,,,,64.0,,
13,,,,,,17.0
14,,32.0,,,,
15,,,,,22.0,
16,,,,,,9.0
17,,,,,16.0,
18,29.0,,,,,
19,41.0,,,,,
20,,,,,40.0,
21,,,,64.0,,
22,,,64.0,,,
23,,,,,,13.0
24,,18.0,,,,
25,,,64.0,,,
26,29.0,,,,,
27,,18.0,,,,
28,,,64.0,,,
29,,,,,20.0,
30,,,64.0,,,
31,,,64.0,,,
32,,,,,,15.0
33,,,64.0,,,
34,,,,64.0,,
35,,,,,,25.0
36,,,,,10.0,
37,,,,64.0,,
38,17.0,,,,,
39,,,,,,13.0
40,,,,,,13.0
41,19.0,,,,,
42,59.0,,,,,
43,,,,,,43.0
44,17.0,,,,,
45,,,,64.0,,
46,,,,,26.0,
47,,,,,20.0,
48,,,,,,15.0
49,,,,,16.0,
