,ZERO_v1_started_ZERO_v1_won,UCT_3000_started_ZERO_v1_won,ZERO_v1_started_Tie,UCT_3000_started_Tie,ZERO_v1_started_UCT_3000_won,UCT_3000_started_UCT_3000_won
0,,,,,,13.0
1,,,,,14.0,
2,9.0,,,,,
3,,,,,16.0,
4,,,,,22.0,
5,,,,,14.0,
6,9.0,,,,,
7,9.0,,,,,
8,,,,,12.0,
9,,,,,,9.0
10,,,,,16.0,
11,,,,,,9.0
12,,,,,12.0,
13,,,,,18.0,
14,,,,,16.0,
15,,,,,10.0,
16,,,,,,45.0
17,,,,,,13.0
18,,,,,14.0,
19,,,,,,13.0
20,,,,,,13.0
21,,14.0,,,,
22,,,,,,17.0
23,,,,,,11.0
24,,,,,,11.0
25,,,,,10.0,
26,,,,,,21.0
27,,,,,,21.0
28,,,,,,11.0
29,,,,,10.0,
30,,,,,20.0,
31,,,,,16.0,
32,21.0,,,,,
33,21.0,,,,,
34,,14.0,,,,
35,,,,,16.0,
36,,,,,16.0,
37,,,,,12.0,
38,,,,,30.0,
39,,,,,,15.0
40,,,,,,21.0
41,,,,,24.0,
42,,,,,,15.0
43,,,,,28.0,
44,,10.0,,,,
45,,,,,,13.0
46,,,,,,9.0
47,,20.0,,,,
48,,,,,,39.0
49,,,,,,15.0
