,ZRem_started_ZRem_won,UCT6_started_ZRem_won,ZRem_started_Tie,UCT6_started_Tie,ZRem_started_UCT6_won,UCT6_started_UCT6_won
0,11.0,,,,,
1,,18.0,,,,
2,,,,,28.0,
3,,,,,40.0,
4,23.0,,,,,
5,17.0,,,,,
6,,,,,,25.0
7,,,,,,25.0
8,,,,,,19.0
9,,,64.0,,,
