,ZRem_started_ZRem_won,UCT3_started_ZRem_won,ZRem_started_Tie,UCT3_started_Tie,ZRem_started_UCT3_won,UCT3_started_UCT3_won
0,,,,,,27.0
1,,14.0,,,,
2,17.0,,,,,
3,,,,,,25.0
4,,14.0,,,,
5,9.0,,,,,
6,,28.0,,,,
7,,,,,38.0,
8,9.0,,,,,
9,19.0,,,,,
