,Zero_started_Zero_won,UCT1_started_Zero_won,Zero_started_Tie,UCT1_started_Tie,Zero_started_UCT1_won,UCT1_started_UCT1_won
0,,10.0,,,,
1,,8.0,,,,
2,,10.0,,,,
3,,8.0,,,,
4,,10.0,,,,
5,,10.0,,,,
6,9.0,,,,,
7,,10.0,,,,
8,,14.0,,,,
9,,10.0,,,,
