,FLAT_v5_started_FLAT_v5_won,UCT_6000_started_FLAT_v5_won,FLAT_v5_started_Tie,UCT_6000_started_Tie,FLAT_v5_started_UCT_6000_won,UCT_6000_started_UCT_6000_won
0,9.0,,,,,
1,,12.0,,,,
2,17.0,,,,,
3,,10.0,,,,
4,,12.0,,,,
5,,,,,22.0,
6,,,,,20.0,
7,9.0,,,,,
8,,,,,14.0,
9,,10.0,,,,
10,19.0,,,,,
11,,,,,,15.0
12,9.0,,,,,
13,,,,,16.0,
14,,10.0,,,,
15,9.0,,,,,
16,9.0,,,,,
17,17.0,,,,,
18,9.0,,,,,
19,9.0,,,,,
20,,10.0,,,,
21,,,,,,11.0
22,9.0,,,,,
23,,,,,16.0,
24,,,,,14.0,
25,15.0,,,,,
26,,16.0,,,,
27,,16.0,,,,
28,,,,,18.0,
29,9.0,,,,,
30,,12.0,,,,
31,,,,,,15.0
32,,,,,,21.0
33,,12.0,,,,
34,,,,,14.0,
35,9.0,,,,,
36,,,,,12.0,
37,,10.0,,,,
38,9.0,,,,,
39,19.0,,,,,
40,,,,,24.0,
41,,10.0,,,,
42,21.0,,,,,
43,,,,,,27.0
44,,,,,,23.0
45,,,,,,19.0
46,9.0,,,,,
47,,,,,,17.0
48,,,,,,11.0
49,15.0,,,,,
