,ZEROX_v4_started_ZEROX_v4_won,UCT_2000_started_ZEROX_v4_won,ZEROX_v4_started_Tie,UCT_2000_started_Tie,ZEROX_v4_started_UCT_2000_won,UCT_2000_started_UCT_2000_won
0,,12.0,,,,
1,11.0,,,,,
2,,10.0,,,,
3,13.0,,,,,
4,,,,,,17.0
5,17.0,,,,,
6,,12.0,,,,
7,,10.0,,,,
8,,,,,,19.0
9,,10.0,,,,
10,,10.0,,,,
11,,10.0,,,,
12,11.0,,,,,
13,,10.0,,,,
14,11.0,,,,,
15,,14.0,,,,
16,11.0,,,,,
17,,10.0,,,,
18,,,,,,9.0
19,15.0,,,,,
20,15.0,,,,,
21,,12.0,,,,
22,13.0,,,,,
23,9.0,,,,,
24,,18.0,,,,
25,,,,,,15.0
26,11.0,,,,,
27,,10.0,,,,
28,,12.0,,,,
29,11.0,,,,,
30,,10.0,,,,
31,11.0,,,,,
32,,12.0,,,,
33,11.0,,,,,
34,11.0,,,,,
35,,10.0,,,,
36,,10.0,,,,
37,,,,,12.0,
38,9.0,,,,,
39,13.0,,,,,
40,,10.0,,,,
41,,,,,,15.0
42,,,,,,9.0
43,11.0,,,,,
44,,10.0,,,,
45,,12.0,,,,
46,13.0,,,,,
47,11.0,,,,,
48,11.0,,,,,
49,13.0,,,,,
