,FLAT_v2_started_FLAT_v2_won,FLAT_v5_started_FLAT_v2_won,FLAT_v2_started_Tie,FLAT_v5_started_Tie,FLAT_v2_started_FLAT_v5_won,FLAT_v5_started_FLAT_v5_won
0,,,,,,11.0
1,,,,,,9.0
2,,,,,,11.0
3,,,,,,11.0
4,,,,,,11.0
5,,,,,,11.0
6,15.0,,,,,
7,,,,,,9.0
8,,,,,14.0,
9,,,,,,9.0
10,,,,,,9.0
11,,,,,,13.0
12,,,,,10.0,
13,,,,,,9.0
14,,,,,,9.0
15,,,,,,11.0
16,,,,,,11.0
17,,12.0,,,,
18,13.0,,,,,
19,,,,,,9.0
20,,,,,,9.0
21,,,,,,9.0
22,25.0,,,,,
23,,,,,,9.0
24,,,,,14.0,
25,,,,,,15.0
26,,,,,,9.0
27,,,,,,9.0
28,,,,,,9.0
29,,,,,12.0,
30,,,,,18.0,
31,,,,,12.0,
32,,,,,,11.0
33,,10.0,,,,
34,,,,,,17.0
35,,,,,18.0,
36,,,,,,11.0
37,,,,,,11.0
38,,12.0,,,,
39,,,,,10.0,
40,,,,,,9.0
41,,,,,,9.0
42,,,,,,11.0
43,,,,,,9.0
44,,,,,,11.0
45,,,,,,11.0
46,,,,,,9.0
47,,,,,,9.0
48,,,,,,9.0
49,,12.0,,,,
