,FLAT_v1_started_FLAT_v1_won,UCT_8000_started_FLAT_v1_won,FLAT_v1_started_Tie,UCT_8000_started_Tie,FLAT_v1_started_UCT_8000_won,UCT_8000_started_UCT_8000_won
0,,,,,,9.0
1,,,,,28.0,
2,,,,,,9.0
3,,,,,,9.0
4,,,,,,9.0
5,,10.0,,,,
6,,,,,,15.0
7,9.0,,,,,
8,,,,,12.0,
9,9.0,,,,,
10,,,,,,15.0
11,,,,,,9.0
12,9.0,,,,,
13,,,,,,9.0
14,,,,,,13.0
15,,,,,,9.0
16,,,,,,15.0
17,,,,,14.0,
18,,10.0,,,,
19,9.0,,,,,
20,,,,,,9.0
21,,,,,,17.0
22,,,,,14.0,
23,,,,,20.0,
24,,,,,,11.0
25,,,,,,9.0
26,9.0,,,,,
27,,,,,,13.0
28,,,,,,11.0
29,,,,,,17.0
30,9.0,,,,,
31,,,,,14.0,
32,,,,,16.0,
33,9.0,,,,,
34,,,,,,9.0
35,,,,,16.0,
36,9.0,,,,,
37,,,,,16.0,
38,,,,,,19.0
39,,,,,10.0,
40,,,,,,17.0
41,,,,,16.0,
42,,,,,,11.0
43,,10.0,,,,
44,,,,,,13.0
45,9.0,,,,,
46,,,,,14.0,
47,,,,,16.0,
48,15.0,,,,,
49,,,,,12.0,
