,FLAT_v3_started_FLAT_v3_won,ZERO_v3_started_FLAT_v3_won,FLAT_v3_started_Tie,ZERO_v3_started_Tie,FLAT_v3_started_ZERO_v3_won,ZERO_v3_started_ZERO_v3_won
0,,,,,,51.0
1,,,,,36.0,
2,,,,,42.0,
3,,,,,34.0,
4,,,,,46.0,
5,,,,,,13.0
6,,,,,12.0,
7,,,,,18.0,
8,,,,,18.0,
9,,,,,44.0,
10,,,,,,29.0
11,,,,,32.0,
12,,,,,,39.0
13,,,,,,47.0
14,,,,,,11.0
15,,,,,,21.0
16,,,,,20.0,
17,,,,,,35.0
18,,,,,,13.0
19,,,,,34.0,
20,,,,,22.0,
21,,,,,12.0,
22,,,,,12.0,
23,,,,,46.0,
24,,,,,24.0,
25,,,,,46.0,
26,,,,,44.0,
27,,,,,,37.0
28,,,,,,17.0
29,,,,,16.0,
30,,,,,90.0,
31,,,,,,47.0
32,,,,,24.0,
33,,,,,24.0,
34,,,,,38.0,
35,,,,,46.0,
36,,,,,,33.0
37,,,,,,51.0
38,,,,,,39.0
39,,,,,10.0,
40,,,,,,25.0
41,49.0,,,,,
42,,,,,,25.0
43,,,,,16.0,
44,,,,,,23.0
45,,,,,34.0,
46,,,,,24.0,
47,,,,,,23.0
48,43.0,,,,,
49,,,,,24.0,
