,ZERO_v1_started_ZERO_v1_won,UCT_10000_started_ZERO_v1_won,ZERO_v1_started_Tie,UCT_10000_started_Tie,ZERO_v1_started_UCT_10000_won,UCT_10000_started_UCT_10000_won
0,,,,,,9.0
1,,,,,,9.0
2,,,,,,15.0
3,,,,,10.0,
4,,,,,10.0,
5,,,,,,15.0
6,,,,,12.0,
7,,,,,16.0,
8,,,,,14.0,
9,,,,,,9.0
10,,,,,,17.0
11,,,,,,9.0
12,,,,,,9.0
13,,,,,,9.0
14,,,,,10.0,
15,,,,,16.0,
16,,,,,14.0,
17,,,,,,11.0
18,,,,,,9.0
19,,,,,,9.0
20,,,,,12.0,
21,,10.0,,,,
22,,,,,12.0,
23,,,,,22.0,
24,,,,,14.0,
25,,,,,,13.0
26,,,,,18.0,
27,,,,,12.0,
28,,10.0,,,,
29,,,,,12.0,
30,,,,,10.0,
31,,,,,,15.0
32,,,,,12.0,
33,,,,,22.0,
34,,,,,10.0,
35,,,,,12.0,
36,,,,,10.0,
37,,,,,18.0,
38,,,,,,13.0
39,,,,,10.0,
40,15.0,,,,,
41,,,,,,11.0
42,,,,,10.0,
43,,,,,12.0,
44,,,,,,11.0
45,,,,,,9.0
46,,,,,12.0,
47,,,,,,9.0
48,,,,,16.0,
49,,,,,,21.0
