,FLAT_v2_started_FLAT_v2_won,ZERO_v2_started_FLAT_v2_won,FLAT_v2_started_Tie,ZERO_v2_started_Tie,FLAT_v2_started_ZERO_v2_won,ZERO_v2_started_ZERO_v2_won
0,,,,,14.0,
1,,,,,10.0,
2,,,,,,31.0
3,,,,,,33.0
4,,,,,,45.0
5,,,,,,35.0
6,,,,,,19.0
7,,,,,20.0,
8,,,,,,19.0
9,,,,,20.0,
10,,,,,,19.0
11,,,,,12.0,
12,,,,,,25.0
13,,,,,,27.0
14,,,,,,43.0
15,,,,,,19.0
16,,,,,18.0,
17,,,,,20.0,
18,,,,,,31.0
19,,,,,20.0,
20,,,,,10.0,
21,,,,,,21.0
22,,,,,16.0,
23,,,,,14.0,
24,,,,,30.0,
25,,,,,,19.0
26,,,,,,19.0
27,,,,,24.0,
28,,,,,,37.0
29,33.0,,,,,
30,,,,,16.0,
31,57.0,,,,,
32,,,,,,21.0
33,,,,,16.0,
34,,,,,14.0,
35,,,,,,41.0
36,,,,,,17.0
37,,,,,,19.0
38,,,,,,11.0
39,,,,,,35.0
40,,,,,30.0,
41,,,,,,19.0
42,,,,,28.0,
43,,,,,14.0,
44,,,,,,21.0
45,,,,,14.0,
46,,,,,28.0,
47,,,,,20.0,
48,,,,,,21.0
49,,,,,,33.0
