,FLAT_started_FLAT_won,UCT_2000_started_FLAT_won,FLAT_started_Tie,UCT_2000_started_Tie,FLAT_started_UCT_2000_won,UCT_2000_started_UCT_2000_won
0,,10.0,,,,
1,9.0,,,,,
2,,10.0,,,,
3,,,,,,15.0
4,,,,,,17.0
5,,,,,,17.0
6,,10.0,,,,
7,17.0,,,,,
8,,10.0,,,,
9,9.0,,,,,
10,,,,,,9.0
11,,10.0,,,,
12,9.0,,,,,
13,,10.0,,,,
14,9.0,,,,,
15,,10.0,,,,
16,,,,,,11.0
17,,10.0,,,,
18,9.0,,,,,
19,,,,,,9.0
20,,,,,16.0,
21,,10.0,,,,
22,,,,,,17.0
23,,,,,,23.0
24,9.0,,,,,
25,,10.0,,,,
26,,,,,,9.0
27,9.0,,,,,
28,,,,,18.0,
29,9.0,,,,,
30,9.0,,,,,
31,,10.0,,,,
32,,,,,14.0,
33,9.0,,,,,
34,9.0,,,,,
35,,10.0,,,,
36,,10.0,,,,
37,,,,,,13.0
38,,10.0,,,,
39,9.0,,,,,
40,,10.0,,,,
41,,,,,,19.0
42,15.0,,,,,
43,15.0,,,,,
44,,,,,14.0,
45,,,,,,13.0
46,,16.0,,,,
47,,10.0,,,,
48,9.0,,,,,
49,9.0,,,,,
