,ZEROX_v3_started_ZEROX_v3_won,ZEROX_v5_started_ZEROX_v3_won,ZEROX_v3_started_Tie,ZEROX_v5_started_Tie,ZEROX_v3_started_ZEROX_v5_won,ZEROX_v5_started_ZEROX_v5_won
0,,,,,,9.0
1,11.0,,,,,
2,,,,,,17.0
3,,,,,,11.0
4,,,,,,11.0
5,,,,,,11.0
6,19.0,,,,,
7,,,,,,11.0
8,,,,,,11.0
9,,,,,,9.0
10,,,,,20.0,
11,33.0,,,,,
12,,,,,,9.0
13,,,,,,9.0
14,31.0,,,,,
15,,,,,,11.0
16,,,,,32.0,
17,,,,,42.0,
18,49.0,,,,,
19,,,,,,11.0
20,9.0,,,,,
21,17.0,,,,,
22,,,,,90.0,
23,,,,,,11.0
24,31.0,,,,,
25,,,,,24.0,
26,,,,,,11.0
27,,,,,,15.0
28,21.0,,,,,
29,27.0,,,,,
30,,,,,,11.0
31,,,,,24.0,
32,21.0,,,,,
33,,,,,30.0,
34,,,,,,15.0
35,11.0,,,,,
36,,,100.0,,,
37,,,,,,11.0
38,,,,,,13.0
39,29.0,,,,,
40,,,,,,9.0
41,,,,,,11.0
42,,,,,,21.0
43,19.0,,,,,
44,,,,,,13.0
45,,,,,38.0,
46,,,,,,9.0
47,19.0,,,,,
48,31.0,,,,,
49,,,,,12.0,
