,ZERO_v2_started_ZERO_v2_won,ZEROX_v2_started_ZERO_v2_won,ZERO_v2_started_Tie,ZEROX_v2_started_Tie,ZERO_v2_started_ZEROX_v2_won,ZEROX_v2_started_ZEROX_v2_won
0,21.0,,,,,
1,23.0,,,,,
2,23.0,,,,,
3,23.0,,,,,
4,,16.0,,,,
5,,,,,42.0,
6,,,,,,13.0
7,,,,,,23.0
8,,,,,,17.0
9,,,,,24.0,
10,,,,,,15.0
11,,,,,,19.0
12,19.0,,,,,
13,21.0,,,,,
14,,,,,20.0,
15,,,,,,11.0
16,25.0,,,,,
17,23.0,,,,,
18,,,,,,13.0
19,21.0,,,,,
20,27.0,,,,,
21,,,,,,17.0
22,,,,,18.0,
23,25.0,,,,,
24,23.0,,,,,
25,,14.0,,,,
26,21.0,,,,,
27,,,,,,17.0
28,27.0,,,,,
29,33.0,,,,,
30,21.0,,,,,
31,,,,,,21.0
32,,28.0,,,,
33,,30.0,,,,
34,19.0,,,,,
35,,26.0,,,,
36,,,,,,25.0
37,23.0,,,,,
38,,,,,,35.0
39,,,,,,29.0
40,21.0,,,,,
41,,,,,,27.0
42,13.0,,,,,
43,,,,,,31.0
44,,,,,,43.0
45,,,,,24.0,
46,,,,,28.0,
47,17.0,,,,,
48,,,,,,19.0
49,21.0,,,,,
