,ZERO_started_ZERO_won,UCT_6000_started_ZERO_won,ZERO_started_Tie,UCT_6000_started_Tie,ZERO_started_UCT_6000_won,UCT_6000_started_UCT_6000_won
0,,,,,,21.0
1,,,,,,9.0
2,,,,,,9.0
3,11.0,,,,,
4,,,,,,15.0
5,,,,,,15.0
6,,10.0,,,,
7,,,,,10.0,
8,,,,,14.0,
9,,,,,12.0,
10,,,,,,11.0
11,,,,,,15.0
12,11.0,,,,,
13,,,,,18.0,
14,25.0,,,,,
15,,,,,,17.0
16,,,,,,17.0
17,,,,,,15.0
18,,,,,,15.0
19,,,,,14.0,
20,,,,,16.0,
21,,,,,,11.0
22,,,,,,9.0
23,,,,,12.0,
24,,,,,,9.0
25,,,,,,15.0
26,,,,,10.0,
27,,10.0,,,,
28,,,,,,11.0
29,,,,,24.0,
30,,,,,,17.0
31,,,,,14.0,
32,11.0,,,,,
33,15.0,,,,,
34,,,,,18.0,
35,11.0,,,,,
36,,,,,,19.0
37,,,,,10.0,
38,,,,,,9.0
39,,,,,18.0,
40,,,,,,15.0
41,,,,,12.0,
42,,,,,16.0,
43,,,,,24.0,
44,,,,,,9.0
45,,,,,14.0,
46,,,,,,11.0
47,,,,,20.0,
48,,,,,12.0,
49,,10.0,,,,
