,FLAT_v5_started_FLAT_v5_won,UCT_4000_started_FLAT_v5_won,FLAT_v5_started_Tie,UCT_4000_started_Tie,FLAT_v5_started_UCT_4000_won,UCT_4000_started_UCT_4000_won
0,,10.0,,,,
1,9.0,,,,,
2,9.0,,,,,
3,,,,,12.0,
4,9.0,,,,,
5,9.0,,,,,
6,9.0,,,,,
7,,14.0,,,,
8,21.0,,,,,
9,9.0,,,,,
10,,,,,,21.0
11,,,,,,37.0
12,21.0,,,,,
13,9.0,,,,,
14,9.0,,,,,
15,9.0,,,,,
16,23.0,,,,,
17,,,,,,19.0
18,,,,,20.0,
19,9.0,,,,,
20,,,,,,15.0
21,,12.0,,,,
22,,12.0,,,,
23,,,,,,17.0
24,,,,,,27.0
25,9.0,,,,,
26,,10.0,,,,
27,,,,,,21.0
28,9.0,,,,,
29,9.0,,,,,
30,,,,,,23.0
31,,,,,,15.0
32,,,,,14.0,
33,,,,,,13.0
34,9.0,,,,,
35,9.0,,,,,
36,,,,,22.0,
37,,10.0,,,,
38,,,,,,15.0
39,15.0,,,,,
40,,10.0,,,,
41,,,,,,9.0
42,9.0,,,,,
43,9.0,,,,,
44,19.0,,,,,
45,,10.0,,,,
46,,,,,,25.0
47,,,,,,17.0
48,,,,,18.0,
49,9.0,,,,,
