,ZEROX_v2_started_ZEROX_v2_won,ZEROX_v4_started_ZEROX_v2_won,ZEROX_v2_started_Tie,ZEROX_v4_started_Tie,ZEROX_v2_started_ZEROX_v4_won,ZEROX_v4_started_ZEROX_v4_won
0,,,,,14.0,
1,,,,,,13.0
2,,,,,16.0,
3,23.0,,,,,
4,,,,,,9.0
5,9.0,,,,,
6,,,,,26.0,
7,,,,,20.0,
8,,,,,,15.0
9,39.0,,,,,
10,,,,,14.0,
11,,,,,22.0,
12,11.0,,,,,
13,,,,,,13.0
14,,,,,,25.0
15,,,,,16.0,
16,,,,,,23.0
17,29.0,,,,,
18,,,,,24.0,
19,,,,,,13.0
20,,,,,,11.0
21,,,,,14.0,
22,,,,,,11.0
23,21.0,,,,,
24,27.0,,,,,
25,37.0,,,,,
26,17.0,,,,,
27,,,,,10.0,
28,27.0,,,,,
29,21.0,,,,,
30,15.0,,,,,
31,,,,,,11.0
32,,,,,,15.0
33,,,,,28.0,
34,,,,,24.0,
35,,,,,18.0,
36,,,,,,29.0
37,,,,,,29.0
38,13.0,,,,,
39,,,,,12.0,
40,,,,,,37.0
41,,,,,,15.0
42,,,,,,13.0
43,,,,,,13.0
44,,,,,,15.0
45,17.0,,,,,
46,,,,,,17.0
47,,,,,,11.0
48,,,,,16.0,
49,,,,,18.0,
