,FLAT_v5_started_FLAT_v5_won,ZEROX_v5_started_FLAT_v5_won,FLAT_v5_started_Tie,ZEROX_v5_started_Tie,FLAT_v5_started_ZEROX_v5_won,ZEROX_v5_started_ZEROX_v5_won
0,,,,,,25.0
1,,,,,,23.0
2,,,,,,13.0
3,,,,,,27.0
4,,,,,,33.0
5,29.0,,,,,
6,,,,,26.0,
7,,,,,,17.0
8,,,,,44.0,
9,,,,,,17.0
10,,,,,,11.0
11,,,,,,25.0
12,21.0,,,,,
13,,,,,12.0,
14,,,,,,17.0
15,,,,,,19.0
16,,,,,,19.0
17,,,,,22.0,
18,,,,,,21.0
19,,,,,22.0,
20,,,,,,17.0
21,11.0,,,,,
22,,,,,26.0,
23,,,,,,17.0
24,,,,,,13.0
25,19.0,,,,,
26,,,,,,15.0
27,,,,,,11.0
28,,,,,,23.0
29,,,,,,25.0
30,,,,,12.0,
31,,,,,,17.0
32,17.0,,,,,
33,,,,,,15.0
34,,,,,30.0,
35,,,,,10.0,
36,,,,,26.0,
37,,,,,,15.0
38,,,,,,13.0
39,,,,,,29.0
40,21.0,,,,,
41,,,,,,17.0
42,,,,,26.0,
43,,,,,,19.0
44,,,,,,23.0
45,,,,,,19.0
46,,,,,16.0,
47,,,,,,11.0
48,,,,,,17.0
49,13.0,,,,,
