,FLAT_v2_started_FLAT_v2_won,UCT_10000_started_FLAT_v2_won,FLAT_v2_started_Tie,UCT_10000_started_Tie,FLAT_v2_started_UCT_10000_won,UCT_10000_started_UCT_10000_won
0,,,,,,15.0
1,,10.0,,,,
2,,,,,,9.0
3,,,,,,9.0
4,,,,,,9.0
5,,,,,,17.0
6,9.0,,,,,
7,,,,,12.0,
8,21.0,,,,,
9,,,,,,17.0
10,,,,,,9.0
11,15.0,,,,,
12,13.0,,,,,
13,,,,,,9.0
14,,,,,,9.0
15,,,,,14.0,
16,,,,,14.0,
17,,,,,,9.0
18,,,,,,15.0
19,,,,,,13.0
20,,10.0,,,,
21,,,,,14.0,
22,,,,,14.0,
23,,,,,18.0,
24,,,,,,15.0
25,,,,,14.0,
26,,,,,18.0,
27,,,,,20.0,
28,,,,,12.0,
29,,,,,,15.0
30,,,,,14.0,
31,,,,,18.0,
32,,,,,,9.0
33,,,,,14.0,
34,,10.0,,,,
35,,,,,14.0,
36,,,,,,17.0
37,,,,,14.0,
38,,,,,14.0,
39,,,,,18.0,
40,,,,,,15.0
41,,,,,,11.0
42,,,,,22.0,
43,,,,,,19.0
44,,,,,,13.0
45,,,,,,9.0
46,,,,,,13.0
47,,,,,,17.0
48,,,,,,9.0
49,,,,,,9.0
