,FLAT_v5_started_FLAT_v5_won,ZERO_v5_started_FLAT_v5_won,FLAT_v5_started_Tie,ZERO_v5_started_Tie,FLAT_v5_started_ZERO_v5_won,ZERO_v5_started_ZERO_v5_won
0,,,,,,13.0
1,,,,,,17.0
2,,,,,12.0,
3,,,,,,19.0
4,,,,,,21.0
5,,,,,,27.0
6,15.0,,,,,
7,,,,,,23.0
8,,,,,,17.0
9,,,,,24.0,
10,23.0,,,,,
11,,,,,16.0,
12,,,,,,11.0
13,,,,,22.0,
14,,38.0,,,,
15,29.0,,,,,
16,,,,,18.0,
17,,,,,24.0,
18,,,,,12.0,
19,,,,,,9.0
20,,,,,10.0,
21,,,,,,17.0
22,,,,,,27.0
23,,,,,18.0,
24,,,,,,25.0
25,,,,,,23.0
26,,,,,,15.0
27,,,,,,15.0
28,,,,,,19.0
29,,,,,10.0,
30,,,,,,13.0
31,,,,,,23.0
32,,,,,18.0,
33,15.0,,,,,
34,27.0,,,,,
35,,,,,,23.0
36,,,,,,21.0
37,,,,,20.0,
38,,,,,,23.0
39,,,,,10.0,
40,,,,,,23.0
41,,,,,,9.0
42,25.0,,,,,
43,,,,,,23.0
44,,,,,,21.0
45,,,,,24.0,
46,,,,,,21.0
47,,,,,20.0,
48,,,,,16.0,
49,,,,,,19.0
