,ZEROX_v1_started_ZEROX_v1_won,UCT_10000_started_ZEROX_v1_won,ZEROX_v1_started_Tie,UCT_10000_started_Tie,ZEROX_v1_started_UCT_10000_won,UCT_10000_started_UCT_10000_won
0,,,,,,13.0
1,,,,,18.0,
2,,,,,12.0,
3,,,,,,11.0
4,,,,,,13.0
5,,,,,,13.0
6,,,,,18.0,
7,13.0,,,,,
8,,,,,10.0,
9,,,,,12.0,
10,,,,,10.0,
11,,,,,,11.0
12,,,,,14.0,
13,,,,,,9.0
14,,,,,,9.0
15,15.0,,,,,
16,,,,,14.0,
17,,,,,,11.0
18,,,,,,19.0
19,,,,,,9.0
20,,,,,,17.0
21,,,,,,21.0
22,,,,,,9.0
23,,,,,12.0,
24,9.0,,,,,
25,,,,,,9.0
26,,,,,,9.0
27,,,,,12.0,
28,,,,,,25.0
29,,,,,20.0,
30,,,,,12.0,
31,,10.0,,,,
32,,,,,,13.0
33,,,,,,9.0
34,,,,,14.0,
35,,,,,,11.0
36,,,,,12.0,
37,,,,,36.0,
38,,,,,20.0,
39,,,,,,9.0
40,,,,,,23.0
41,,,,,,13.0
42,,,,,12.0,
43,11.0,,,,,
44,13.0,,,,,
45,,,,,,9.0
46,,,,,,19.0
47,,,,,14.0,
48,,,,,,9.0
49,,,,,12.0,
