,FLAT_v5_started_FLAT_v5_won,UCT_10000_started_FLAT_v5_won,FLAT_v5_started_Tie,UCT_10000_started_Tie,FLAT_v5_started_UCT_10000_won,UCT_10000_started_UCT_10000_won
0,,12.0,,,,
1,,,,,18.0,
2,,,,,,19.0
3,,,,,,19.0
4,,,,,,27.0
5,,,,,14.0,
6,,,,,,17.0
7,,18.0,,,,
8,,,,,,27.0
9,27.0,,,,,
10,,,,,,13.0
11,,10.0,,,,
12,,,,,,9.0
13,,,,,,21.0
14,,,,,,23.0
15,9.0,,,,,
16,,,,,,11.0
17,9.0,,,,,
18,17.0,,,,,
19,,,,,14.0,
20,,,,,14.0,
21,,,,,16.0,
22,,,,,,17.0
23,,,,,,15.0
24,23.0,,,,,
25,,,,,,9.0
26,,,,,,11.0
27,27.0,,,,,
28,,,,,,23.0
29,,,,,,17.0
30,,,,,,13.0
31,15.0,,,,,
32,9.0,,,,,
33,,10.0,,,,
34,,,,,,21.0
35,9.0,,,,,
36,9.0,,,,,
37,,,,,20.0,
38,,,,,,11.0
39,,10.0,,,,
40,,,,,,9.0
41,9.0,,,,,
42,,,,,,19.0
43,,,,,,17.0
44,9.0,,,,,
45,,,,,20.0,
46,9.0,,,,,
47,,,,,14.0,
48,,,,,,9.0
49,9.0,,,,,
